Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
Gilmer                        ,"APD-11      ",24          ,594258      ,A1 118      ,3985                ,1945-08-01,1945-08-31,https://catalog.archives.gov/id/74769787          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gilmer-apd-11-1945-08/gilmer-apd-11-1945-08.pdf
Gilmer                        ,"APD-11      ",24          ,594258      ,A1 118      ,3985                ,1945-12-01,1945-12-31,https://catalog.archives.gov/id/74770047          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gilmer-apd-11-1945-12/gilmer-apd-11-1945-12.pdf
Gilmer                        ,"APD-11      ",24          ,594258      ,A1 118      ,3985                ,1945-10-01,1945-10-31,https://catalog.archives.gov/id/74769917          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gilmer-apd-11-1945-10/gilmer-apd-11-1945-10.pdf
Gilmer                        ,"DD-233      ",24          ,594258      ,A1 118      ,3981                ,1942-02-01,1942-02-28,https://catalog.archives.gov/id/74771046          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gilmer-dd-233-1942-02/gilmer-dd-233-1942-02.pdf
Gridley                       ,"DD-380      ",24          ,594258      ,A1 118      ,4149                ,1943-01-01,1943-01-31,https://catalog.archives.gov/id/74772815          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gridley-dd-380-1943-01/gridley-dd-380-1943-01.pdf
Gridley                       ,"DD-380      ",24          ,594258      ,A1 118      ,4150                ,1944-05-01,1944-05-31,https://catalog.archives.gov/id/74773547          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gridley-dd-380-1944-05/gridley-dd-380-1944-05.pdf
Gridley                       ,"DD-380      ",24          ,594258      ,A1 118      ,4151                ,1944-12-01,1944-12-31,https://catalog.archives.gov/id/74774011          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gridley-dd-380-1944-12/gridley-dd-380-1944-12.pdf
Gridley                       ,"DD-380      ",24          ,594258      ,A1 118      ,4150                ,1944-07-01,1944-07-31,https://catalog.archives.gov/id/74773675          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gridley-dd-380-1944-07/gridley-dd-380-1944-07.pdf
Gridley                       ,"DD-380      ",24          ,594258      ,A1 118      ,4151                ,1945-03-01,1945-03-31,https://catalog.archives.gov/id/74774145          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gridley-dd-380-1945-03/gridley-dd-380-1945-03.pdf
Gridley                       ,"DD-380      ",24          ,594258      ,A1 118      ,4151                ,1945-04-01,1945-04-30,https://catalog.archives.gov/id/74774211          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gridley-dd-380-1945-04/gridley-dd-380-1945-04.pdf
Gridley                       ,"DD-380      ",24          ,594258      ,A1 118      ,4151                ,1945-07-01,1945-07-31,https://catalog.archives.gov/id/74774277          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0017/gridley-dd-380-1945-07/gridley-dd-380-1945-07.pdf
