Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USS  WACHUSETT                ,            ,24          ,581208      ,A1 118-A    ,35                  ,1885-08-26,1885-09-09,https://catalog.archives.gov/id/169810581         ,25          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-035/581208-wachusett-035.pdf
USS  ENTERPRISE               ,            ,24          ,581208      ,A1 118-A    ,22                  ,1880-05-04,1880-05-20,https://catalog.archives.gov/id/167167172         ,27          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-enterprise-022/581208-enterprise-022.pdf
USS Jamestown                 ,            ,24          ,581208      ,A1 118-A    ,Volume 13 of 67     ,1859-12-01,1860-02-29,https://catalog.archives.gov/id/7284440           ,28          ,            
USS  MONONGAHELA              ,            ,24          ,581208      ,A1 118-A    ,36                  ,1890-09-01,1890-09-19,https://catalog.archives.gov/id/167214929         ,28          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-monongahela-036/581208-monongahela-036.pdf
USS  SARANAC                  ,            ,24          ,581208      ,A1 118-A    ,29                  ,1868-12-09,1869-01-25,https://catalog.archives.gov/id/169778979         ,28          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-saranac-029/581208-saranac-029.pdf
USS  OHIO                     ,            ,24          ,581208      ,A1 118-A    ,30                  ,1875-10-11,1875-10-28,https://catalog.archives.gov/id/183335711         ,28          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-ohio-030/581208-ohio-030.pdf
USS  ENTERPRISE               ,            ,24          ,581208      ,A1 118-A    ,31                  ,1886-03-12,1886-03-31,https://catalog.archives.gov/id/167168877         ,29          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-enterprise-031/581208-enterprise-031.pdf
USS  DALE                     ,            ,24          ,581208      ,A1 118-A    ,22                  ,1865-06-01,1865-07-20,https://catalog.archives.gov/id/183318093         ,29          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-dale-022/581208-dale-022.pdf
USS  SABINE                   ,            ,24          ,581208      ,A1 118-A    ,9                   ,1863-08-27,1863-10-19,https://catalog.archives.gov/id/183344543         ,30          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-009/581208-sabine-009.pdf
USS  SWATARA                  ,            ,24          ,581208      ,A1 118-A    ,54                  ,1886-10-09,1886-10-27,https://catalog.archives.gov/id/169795141         ,31          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-054/581208-swatara-054.pdf
USS  CANADAIGUA               ,            ,24          ,581208      ,A1 118-A    ,27                  ,1875-10-13,1875-11-08,https://catalog.archives.gov/id/167165523         ,32          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-canadaigua-027/581208-canadaigua-027.pdf
USS  OMAHA                    ,            ,24          ,581208      ,A1 118-A    ,33                  ,1891-05-29,1891-06-20,https://catalog.archives.gov/id/169764662         ,32          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-033/581208-omaha-033.pdf
USS Sacramento                ,            ,24          ,581208      ,A1 118-A    ,7                   ,1923-05-01,1923-06-30,https://catalog.archives.gov/id/29009638          ,34          ,            
USS  MINNESOTA                ,            ,24          ,581208      ,A1 118-A    ,4                   ,1861-04-01,1861-06-10,https://catalog.archives.gov/id/183329642         ,34          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-minnesota-004/581208-minnesota-004.pdf
USS  PLYMOUTH                 ,            ,24          ,581208      ,A1 118-A    ,13                  ,1860-02-29,1860-06-26,https://catalog.archives.gov/id/169772228         ,36          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-plymouth-013/581208-plymouth-013.pdf
USS  MOHICAN                  ,            ,24          ,581208      ,A1 118-A    ,13                  ,1868-03-07,1868-04-03,https://catalog.archives.gov/id/167207720         ,37          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-013/581208-mohican-013.pdf
USS Ossipee                   ,            ,24          ,581208      ,A1 118-A    ,Volume 1            ,1862-11-01,1862-12-31,https://catalog.archives.gov/id/33212197          ,39          ,https://catalog.archives.gov/OpaAPI/media/33212197/content/dc-metro/rg-024/581208/0002-A1/ossipee-1862/ossipee-1862.pdf
USS Palos                     ,            ,24          ,581208      ,A1 118-A    ,vol12of64           ,1873-06-01,1873-06-30,https://catalog.archives.gov/id/148856422         ,39          ,            
USS  ST. LAWRENCE             ,            ,24          ,581208      ,A1 118-A    ,15                  ,1865-08-23,1865-12-12,https://catalog.archives.gov/id/183353315         ,39          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-st-lawrence-015/581208-st-lawrence-015.pdf
USS  QUINNEBAUG               ,            ,24          ,581208      ,A1 118-A    ,8                   ,1870-07-01,1870-07-29,https://catalog.archives.gov/id/183341937         ,39          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-quinnebaug-008/581208-quinnebaug-008.pdf
