Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USS John P Kennedy            ,            ,45          ,1740818     ,I-18 397    ,                    ,1853-06-01,1854-08-31,https://catalog.archives.gov/id/74207385          ,73          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-045/1740818/2017-06/Uss_John_P_Kennedy_06111853-08201854/Uss_John_P_Kennedy_06111853-08201854.pdf
USS Fenimore Cooper           ,            ,45          ,1740818     ,I-18 397    ,                    ,1853-03-01,1853-11-30,https://catalog.archives.gov/id/74207183          ,85          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-045/1740818/2017-06/Uss_Fenimore_Cooper_03211853-11081853/Uss_Fenimore_Cooper_03211853-11081853.pdf
USS John P Kennedy            ,            ,45          ,1740818     ,I-18 397    ,                    ,1853-06-01,1854-07-31,https://catalog.archives.gov/id/74207270          ,113         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-045/1740818/2017-06/Uss_John_P_Kennedy_06111853-07231854/Uss_John_P_Kennedy_06111853-07231854.pdf
USS John Hancock              ,            ,45          ,1740818     ,I-18 397    ,                    ,1855-01-01,1855-07-31,https://catalog.archives.gov/id/74207058          ,123         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-045/1740818/2017-06/Uss_John_Hancock_01281855-07101855/Uss_John_Hancock_01281855-07101855.pdf
